Avine Vinny | A Queda Foi Na Sua Cama
Elza Soares | Maria da Vila Matilde
Vinicius de Moraes | Tarde em Itapuã
Wanessa | Desiste Não
Cidade Negra | Girassol
Arnaldo Antunes | Grão De Amor
Mariana Aydar | Te Faço Um Cafuné
Elba Ramalho | Tesoura do Desejo
Djavan | Se...
Mallu Magalhães | Love You
RZO | As Armas Que Matam
Ludmilla | Din Din Din
Cat Dealers | Your Body (Remix)
Cristiano Araújo | Maus Bocados
Elis Regina | Como Nossos Pais
Eli Soares | Os Anjos Te Louvam
Marcelo Camelo | Janta
Caetano Veloso | Tropicália
Rita Lee | Amor e Sexo
DJ Caique | Antissocial
Os Cretinos | Estremece Quando Ela Desce
RZO | Paz em Meio ao Caos
Oba Oba Samba House | Use Somebody / Otherside
Tribo de Jah | Babilônia Em Chamas
João Brasil | Bumbum Gourmet
Villa Baggage | Um em Cem (Ao Vivo)
Perera DJ | Os Maloca
Gabriel O Pensador | Tô Feliz (Matei o Presidente) 2
Capital Inicial | À Sua Maneira
O Rappa | Minha Alma (A Paz Que Eu Não Quero)
MC Menor da VG | Conto do Pescador
Os Cretinos | Qual Bumbum Mais Bate?
Vitor Kley | Morena
Rick e Renner | Filha
Maria Bethânia | A Flor e o Espinho
Grupo Revelação | Deixa Acontecer
Psirico | Lepo Lepo
Mc Zaac | Sexta do Mal
Biquini Cavadão | Tédio
Scalene | Entrelaços
Villa Baggage | Abelha Sem Mel
Sepultura | Ratamahatta
Tulipa Ruiz | Efêmera
O Terno | Volta
Johnny Hooker | Flutua
Sofia Oliveira | Garotas Não Mordem
Chrystian e Ralf | O Ipê e o prisioneiro (Ipê florido)
Evokings | Stairs
Gloria Groove | Coisa Boa
Tom Zé | Jimmy, Renda-se!
Mano Walter | Felicidade Na Cara
Rick e Renner | Nos bares da cidade
Roberta Sá | Me Faz um Dengo / Disritmia
Tim Maia | Brother, Father, Sister and Mother
Thiago Brava | Dá Preferência pra Mim
Kelly Key | A Loirinha, o Playboy e o Negão
Jonas Esticado | Contrário
Maiara e Maraisa | 10%
Otto | Love Sosa
Natiruts | Sorri, Sou Rei
Galinha Pintadinha | Atirei o pau no gato
Milionário e José Rico | Vai pro Inferno com Seu Amor
Grupo Fundo de Quintal | Te Gosto
Pedro Sampaio | SENTADÃO
A Banca 021 | Lá Vem Ela
Nara Leão | Lindonéia
MC Kekel | Amor de Verdade
MC Brinquedo | É Mais de 300 Reais
Jose Augusto | A Minha História
Pabllo Vittar | Corpo Sensual
Mc Don Juan | Os Opostos Se Atraem
Bom Gosto | Curtindo a Vida
João Neto & Frederico | Lê Lê Lê
Raul Seixas | Gita
Os Paralamas do Sucesso | La Bella Luna (Español)
MC Jhey | Predador de Perereca
MC Th | Vai Ligar Chorando
Luan Santana | MC Lençol e DJ Travesseiro
Fernanda Takai | I Don’t Want to Talk About It
Os Travessos | Sonhos e planos (sou eu)
Jeito Moleque | Eu Nunca Amei Assim
MC Dudu | Vem de Bum
Loubet | Insana
Rosa de Saron | Menos de Um Segundo
Jerry Smith | Pode Se Soltar
Fernanda Takai | Winnie The Pooh (O Bosque Dos 100 Acres)
Banda do Mar | Mais Ninguém
Edi Rock | That’s My Way
João Donato | A Rã
Gabriel Elias | Palpite
MC Leozinho | Copo de vinho
Parangolé | Rebolation
Adriana Calcanhoto | Fico Assim Sem Você
MV Bill | L. Gelada/3 Da Madrugada
Lenine | É o Que Me Interessa
Raça Negra | Cigana
MC Bin Laden | Tá Tranquilo Tá Favorável
Nando Reis | All Star
Vanguart | E o Meu Peito Mais Aberto Que o Mar da Bahia
Sergio Reis | Pinga Ni Mim
Jads & Jadson | Toca um joão mineiro e marciano
Roupa Nova | Linda Demais
Gabily | Pega Pega
Skank | Resposta
Esteban Tavares | Carta aos Desinteressados
MV Bill | Um Tiro
Oba Oba Samba House | Fly Away
Projota | Muleque de Vila
Skank | Ainda Gosto Dela
Toquinho | Aquarela
Armandinho | Outra Vida
Jefferson Moraes | De Menina Pra Mulher
Kyber Krystals | Taking Back My Life (Quiet Riots)
Rashid | Diário de Bordo 5 (Ponto Final)
Racionais | Jesus Chorou
Padre Marcelo Rossi | Noites Traiçoeiras
Fred e Gustavo | Lendas e misterios
MC Kevinho | Olha a Explosão
1Kilo | Cypher Reza Sincera
POLLO | Vamos Se Abraçar
Zé Felipe | Saudade de Você
MOB79 | Atleta do Ano
Gabily | Jogadão
Perícles | Melhor Eu Ir
Elekfantz | Blush (Vintage Culture Remix)
Fernandinho | Deus Tem o Melhor Pra Mim
Matanza | Clube Dos Canalhas
Valesca Popozuda | Catarro de Porra
Guilherme de Sá | Mistakes and Regrets
Nana Caymmi | Resposta ao Tempo
Negra Li | Você Vai Estar Na Minha
Adriana Partimpim | Fico Assim Sem Você
Ana Gabriela | 3 Horas
Diante do Trono | Águas Purificadoras
Ana Cañas | Esconderijo
MC G15 | Cara Bacana
MC Dede | Partiu Guarujá
Cidade Negra | Podes Crer
Harmonia do Samba | Sacanagenzinha
MC Léléto | Jogando o Bundão
Tribo de Jah | Uma Onda Que Passou (E Eu Não Dropei)
Zimbra | Missão Apollo
Koringa | Dança Sensual
MC Kevin o Chris | Dentro do Carro
DJ PV | Intensamente
Astrud Gilberto | The Girl From Ipanema (Garota De Ipanema)
Chico Buarque | Construção
O Rappa | Rodo Cotidiano
Aviões do Forró | Chupa que é de Uva
Menor | Tetrix
Planet Hemp | Contexto
É o Tchan | A Nova Loira do Tchan
Tiê | PICK IT UP
Jorge Vercillo | Monalisa
Jorge e Mateus | Tijolão
Gal Costa | Baby
Sabotage | Mun Rá
Luiz Lins | A Música Mais Triste do Ano
Vingadora | No Cavalinho
Costa Gold | Quem Tava Lá?
POLLO | Vagalumes
Thalles Roberto | Arde Outra Vez
Dream Team do Passinho | De Ladin
MC João | Brazino777
Roberto Carlos | Amigo (Amigo)
Zezé Di Camargo e Luciano | É o Amor
Nenhum de Nós | O Astronauta de Mármore
Ivan Lins | Abre Alas
Ana Vilela | Trem-Bala
Calcinha Preta | Dois Amores Duas Paixões
MC Brisola | Amiga Que É Amiga
Engenheiros do Hawaii | Era um Garoto que como Eu Amava os Beatles e os Rolling Stones
Emilio Santiago | Verdade Chinesa
Dani Russo | Oh Quem Voltou
Luisa Sonza | Garupa
Bruna Karla | Sou Humano
MC Kevin | Pablo Escobar
Ministério Zoe | Aquieta Minh’alma
Gabriel O Pensador | Homenagem às Crianças Vítimas da Violência no Rio
Gabriel Diniz | Jenifer
MC Fioti | Bum Bum Tam Tam
Paulo Ricardo | Felicidade (Love of My Life)
Rincon Sapiência | Ponta de Lança (Verso Livre)
Rubel | Partilhar
Los Hermanos | Último Romance
Mc Hariel | Modo Avião
Paulinho da Viola | Timoneiro
Ravena | Wannabe
Don L | Eu Não Te Amo
Almir Guineto | Conselho
Maysa | Ne me quitte pas
Reinaldo | Another Night
Planet Hemp | Stab
MC WM | Fuleragem
Thaeme & Thiago | Com Vocês, Eu
Rodriguinho | Pedra No Sapato
Zeca Baleiro | Samba do Approach
Wesley Safadão | Romance com Safadeza
MC Pikachu | Karatê
Pedro Sampaio | Fica à Vontade
MC Guimê | País do Futebol
João Brasil | Michael Douglas
Ivan Lins | Lembra de Mim
liu | I Just Wanna
Melim | Ouvi Dizer
Angra | Carry On
Maneva | O Destino Não Quis
Paulo Miklos | Vou Te Encontrar
Sabotage | Um Bom Lugar
Trio Parada Dura | As andorinhas
Luiz Melodia | Magrelinha
Evokings | On the Floor
Marcelo CIC | Toy Soldier
MC Leozinho | Ela Só Pensa Em Beijar
Turma do Pagode | Lancinho
Baviera | AlguémJáFoiUmBagulhoDoidoNaSuaVida?
Ana Vilela | Dádiva
Ara Ketu | Mal-Acostumada
Gilberto Gil | Aquele Abraço
Parangolé | É Lama
Dalsin | Yélasdiz
Pedra Letícia | Teorema de Carlão
Marcelo Jeneci | Felicidade
Fresno | O arrocha mais triste do mundo
Marisa Monte | Nu Com a Minha Música
Cleber & Cauan | Quase
Forfun | Morada
Mamonas Assassinas | Pelados em Santos (Alok & Sevenn Remix)
Cássia Eller | O Segundo Sol
Roberta Sá | Afogamento
